WRS2,date,img_obs_fn,img_pred_fn,rmse_G
p012r031,2016-171,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312016171EDC01/LE70120312016171EDC01_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-171_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-179,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312016179LGN00/LC80120312016179LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-179_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-195,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312016195LGN00/LC80120312016195LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-195_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-203,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312016203EDC00/LE70120312016203EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-203_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-227,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312016227LGN00/LC80120312016227LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-227_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-235,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312016235EDC00/LE70120312016235EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-235_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2016-243,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312016243LGN00/LC80120312016243LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2016-243_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-176,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312015176LGN00/LC80120312015176LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-176_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-184,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312015184EDC00/LE70120312015184EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-184_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-192,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312015192LGN00/LC80120312015192LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-192_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-200,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312015200EDC00/LE70120312015200EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-200_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-216,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312015216EDC00/LE70120312015216EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-216_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-224,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312015224LGN00/LC80120312015224LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-224_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-232,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312015232EDC00/LE70120312015232EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-232_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-240,/projectnb/landsat/projects/Massachusetts/p012r031/images/LC80120312015240LGN00/LC80120312015240LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-240_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p012r031,2015-248,/projectnb/landsat/projects/Massachusetts/p012r031/images/LE70120312015248EDC00/LE70120312015248EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/moths_paper_3_prediction_2015-248_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p012r031_inputs/YATSM_moths_paper_3_p012r031_harm_G_2010-07-01_refit.tif
p013r031,2016-154,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016154LGN00/LC80130312016154LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-154_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-170,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016170LGN00/LC80130312016170LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-170_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-178,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312016178EDC00/LE70130312016178EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-178_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-186,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016186LGN00/LC80130312016186LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-186_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-194,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312016194EDC00/LE70130312016194EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-194_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-202,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016202LGN00/LC80130312016202LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-202_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-218,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016218LGN00/LC80130312016218LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-218_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-242,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312016242EDC01/LE70130312016242EDC01_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-242_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-258,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312016258EDC01/LE70130312016258EDC01_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-258_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2016-266,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312016266LGN00/LC80130312016266LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2016-266_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-183,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312015183LGN00/LC80130312015183LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-183_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-191,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312015191EDC00/LE70130312015191EDC00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-191_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-215,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312015215LGN00/LC80130312015215LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-215_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-231,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312015231LGN00/LC80130312015231LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-231_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-247,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312015247LGN00/LC80130312015247LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-247_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-255,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312015255EDC02/LE70130312015255EDC02_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-255_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
p013r031,2015-263,/projectnb/landsat/projects/Massachusetts/p013r031/images/LC80130312015263LGN00/LC80130312015263LGN00_all,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/moths_paper_3_prediction_2015-263_qa.tif,/projectnb/landsat/projects/Massachusetts/defoliators/paper_data/p013r031_inputs/YATSM_moths_paper_3_p013r031_harm_G_2010-07-01_refit.tif
